net,length_um
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[24\],28.62
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[8\],28.6
_0936_,28.55
uart_tx_raspi_inst.prescale_reg\[16\],28.315
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[2\],28.09
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[19\],28.06
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[15\],27.5
uart_rx_jetson_inst.m_axis_tdata_reg\[1\],27.4
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[25\],27.325
_0393_,27.32
_0425_,27.3
_0431_,26.86
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[4\],26.84
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[11\],26.71
_0749_,26.68
net240,26.68
uart_rx_raspi_inst.bit_cnt\[1\],26.66
_0997_,26.645
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[13\],26.6
_0682_,26.49
uart_tx_jetson_inst.data_reg\[0\],26.36
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[16\],26.3
_0726_,26.28
uart_rx_jetson_inst.data_reg\[6\],26.28
_0602_,26.24
uart_rx_raspi_inst.bit_cnt\[2\],25.9
_0596_,25.88
_0934_,25.635
uart_rx_jetson_inst.m_axis_tdata_reg\[6\],25.6
_0855_,25.58
_0941_,25.36
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[16\],25.36
_0943_,25.34
_0819_,25.26
uart_tx_raspi_inst.data_reg\[3\],25.26
_0476_,25.12
_0969_,24.92
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[11\],24.7
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[13\],24.68
_0967_,24.66
uart_rx_jetson_inst.m_axis_tdata_reg\[3\],24.66
_0477_,24.505
uart_rx_raspi_inst.m_axis_tdata_reg\[4\],24.44
uart_rx_raspi_inst.bit_cnt\[3\],24.32
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[10\],24.3
_0655_,24.2
_0970_,24.16
_0926_,24.12
_0610_,24.1
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[4\],23.96
_0167_,23.945
_0590_,23.94
_0469_,23.78
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[15\],23.78
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[14\],23.7
_0001_,23.62
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[2\],23.58
uart_rx_jetson_inst.m_axis_tdata_reg\[4\],23.53
clknet_leaf_30_clk,23.4
uart_tx_jetson_inst.bit_cnt\[2\],23.36
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[16\],22.94
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[2\],22.88
uart_tx_raspi_inst.prescale_reg\[4\],22.82
_0369_,22.76
_0471_,22.74
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[22\],22.68
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[4\],22.61
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[5\],22.6
_0806_,22.44
uart_tx_jetson_inst.prescale_reg\[8\],22.42
net165,22.4
rst_cnt\[1\],22.3
_0417_,22.26
_0846_,22.26
_0849_,22.24
_0803_,21.9
uart_tx_jetson_inst.prescale_reg\[4\],21.9
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[20\],21.82
_0827_,21.72
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[12\],21.72
_0405_,21.68
_0612_,21.62
uart_rx_jetson_inst.data_reg\[4\],21.5
uart_tx_jetson_inst.prescale_reg\[1\],21.435
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[1\],21.34
_0748_,21.265
_0723_,21.26
uart_rx_raspi_inst.m_axis_tdata_reg\[2\],21.26
net62,21.22
_0497_,21.185
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.assert_time\[23\],21.12
_0399_,21.1
uart_tx_raspi_inst.prescale_reg\[10\],21.1
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.internal_count\[6\],21
_0670_,20.96
net95,20.86
_0737_,20.84
uart_rx_raspi_inst.prescale_reg\[18\],20.84
_0002_,20.76
uart_rx_raspi_inst.data_reg\[3\],20.76
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.assert_time\[3\],20.74
uart_rx_jetson_inst.prescale_reg\[13\],20.64
uart_tx_jetson_inst.prescale_reg\[6\],20.64
