net,length_um
net59,6.14
_0052_,6.08
_0657_,6.04
_0146_,6.025
net74,6.025
_0863_,6.02
_0147_,6.005
_0168_,6.005
_0707_,5.98
net182,5.98
_0296_,5.96
net72,5.96
uart_rx_raspi_inst.prescale_reg\[12\],5.94
_0289_,5.84
_0527_,5.84
_0547_,5.84
_0983_,5.84
uart_rx_jetson_inst.prescale_reg\[15\],5.84
net79,5.84
_0572_,5.8
_0600_,5.8
_0144_,5.765
_0659_,5.74
_0326_,5.72
net75,5.72
_0921_,5.705
_0857_,5.7
_0367_,5.68
_0465_,5.68
_0493_,5.68
_0495_,5.68
_0727_,5.68
_0842_,5.68
_0909_,5.68
rst_cnt\[2\],5.68
net178,5.68
_0199_,5.62
_0067_,5.61
_0097_,5.61
uart_tx_jetson_inst.prescale_reg\[3\],5.6
net162,5.6
net206,5.58
_0868_,5.57
_0065_,5.56
_0831_,5.56
_0207_,5.545
_0358_,5.52
_0647_,5.52
net179,5.52
_0593_,5.48
_0805_,5.48
_0246_,5.46
_0490_,5.46
reset_n_fc,5.41
_0792_,5.4
net61,5.4
_0229_,5.38
_0293_,5.38
_0324_,5.38
_0534_,5.38
_0627_,5.38
_0316_,5.345
_0022_,5.34
_0039_,5.34
_0398_,5.34
_0574_,5.34
_0721_,5.34
_0772_,5.34
_0956_,5.34
_0994_,5.34
net156,5.34
_0061_,5.33
_0184_,5.305
_0615_,5.28
_0134_,5.26
_0139_,5.26
_0411_,5.26
_0460_,5.26
_0478_,5.26
_0586_,5.26
_0605_,5.26
_0701_,5.26
net44,5.26
_0202_,5.24
_0019_,5.225
_0401_,5.22
_0412_,5.22
_0577_,5.22
_0611_,5.22
_0918_,5.22
net199,5.22
_0524_,5.17
_0335_,5.16
_0869_,5.16
net146,5.16
_0304_,5.14
uart_tx_raspi_inst.data_reg\[1\],5.14
_0780_,5.12
_0075_,5.1
_0159_,5.065
net21,5.06
net90,5.06
net97,5.06
_0145_,5.045
net135,5.04
_0327_,5
_1000_,5
_0273_,4.995
_0102_,4.99
_0616_,4.96
_0617_,4.94
net36,4.94
net103,4.94
_0042_,4.92
_0362_,4.92
_0407_,4.92
_0516_,4.92
_0528_,4.92
_1004_,4.92
uart_rx_jetson_inst.prescale_reg\[6\],4.92
_0314_,4.9
_0887_,4.9
_0409_,4.88
_0556_,4.88
_0787_,4.88
_0871_,4.88
_0898_,4.88
_0920_,4.88
uart_tx_raspi_inst.data_reg\[0\],4.88
net73,4.88
_0205_,4.845
_0514_,4.82
_0056_,4.8
_0370_,4.8
_0704_,4.8
_0784_,4.8
_0985_,4.8
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.tcnt,4.8
_0643_,4.78
_0325_,4.76
_0344_,4.76
_0461_,4.76
_0552_,4.76
_0608_,4.76
net27,4.725
_0216_,4.72
net154,4.7
net167,4.68
_0420_,4.66
_0702_,4.66
_0830_,4.66
_0106_,4.61
net93,4.6
net210,4.6
_0287_,4.595
_0114_,4.585
_0054_,4.58
_0989_,4.58
net148,4.54
_0377_,4.48
_0826_,4.48
_0876_,4.48
_0959_,4.48
net63,4.48
_0233_,4.46
_0238_,4.46
_0341_,4.46
_0712_,4.46
dual_watchdog_inst.watchdog_fc.rising_edge_timeout.internal_count\[17\],4.46
_0557_,4.42
_0812_,4.42
_0955_,4.42
_0264_,4.385
net48,4.385
_0648_,4.36
_0915_,4.36
_0382_,4.34
_0491_,4.34
_0509_,4.34
_0709_,4.34
_0757_,4.34
net47,4.34
net67,4.34
net164,4.34
_0923_,4.32
_0525_,4.29
rxd_raspi,4.27
_0285_,4.265
_0581_,4.24
_0107_,4.22
net76,4.22
_0991_,4.2
_0257_,4.165
_0320_,4.165
_0140_,4.145
_0162_,4.145
_0231_,4.14
_0533_,4.14
net41,4.14
net196,4.14
_0023_,4.12
_0235_,4.12
_0696_,4.12
_0734_,4.12
net126,4.12
net216,4.12
_0098_,4.1
_0507_,4.1
_0699_,4.1
_0902_,4.1
_0153_,4.085
_0208_,4.085
_0013_,4.08
_0739_,4.08
_0209_,4.025
_0348_,4.02
_0626_,4.02
net65,4.02
net118,4.02
_0044_,4
_0311_,4
_0652_,4
_0756_,4
_0800_,4
_1007_,4
_0150_,3.995
_0213_,3.935
_0123_,3.925
_0288_,3.925
net56,3.925
_0690_,3.9
_0714_,3.9
_0924_,3.9
_0079_,3.88
_0312_,3.88
_0416_,3.88
_0498_,3.88
_0675_,3.88
rst_cnt\[7\],3.88
net119,3.88
net132,3.88
net170,3.88
_0913_,3.78
_0494_,3.76
uart_tx_raspi_inst.prescale_reg\[15\],3.76
net22,3.76
net99,3.76
_0117_,3.705
_0158_,3.705
_0268_,3.705
net38,3.705
net101,3.705
_0032_,3.66
_0036_,3.66
_0697_,3.66
net144,3.66
_0642_,3.64
net150,3.64
_0283_,3.625
_0333_,3.56
_0449_,3.56
net26,3.56
net42,3.56
net104,3.56
_0026_,3.54
_0037_,3.54
_0041_,3.54
_0227_,3.54
_0228_,3.54
_0236_,3.54
_0240_,3.54
_0351_,3.54
_0353_,3.54
_0406_,3.54
_0947_,3.54
net83,3.54
net113,3.54
net122,3.54
net127,3.54
net153,3.54
net157,3.54
net173,3.54
net231,3.54
net233,3.54
_0873_,3.52
net43,3.505
_0112_,3.465
_0176_,3.465
_0190_,3.465
_0200_,3.465
_0206_,3.465
_0220_,3.465
_0813_,3.44
_0339_,3.42
_0387_,3.42
_0390_,3.42
_0854_,3.42
net129,3.42
net142,3.42
net161,3.42
net169,3.42
net121,3.385
_0094_,3.35
_0266_,3.345
_0218_,3.32
_0544_,3.32
_0583_,3.32
net168,3.32
net175,3.32
_0051_,3.3
_0169_,3.245
_0276_,3.245
_0177_,3.225
_0256_,3.22
net53,3.22
net82,3.22
net130,3.22
_0011_,3.2
_0040_,3.2
_0050_,3.2
_0668_,3.2
_0993_,3.2
_0087_,3.18
net125,3.18
_0113_,3.175
_0133_,3.175
_0138_,3.175
_0222_,3.175
_0224_,3.175
_0261_,3.175
_0074_,3.15
net238,3.125
_0298_,3.1
_0545_,3.1
_0613_,3.1
_0637_,3.1
_0976_,3.1
net116,3.1
net190,3.1
_0017_,3.08
_0024_,3.08
_0028_,3.08
_0038_,3.08
_0047_,3.08
_0053_,3.08
_0292_,3.08
_0297_,3.08
_0388_,3.08
_0394_,3.08
_0455_,3.08
_0500_,3.08
_0532_,3.08
_0862_,3.08
_0901_,3.08
_0981_,3.08
_0984_,3.08
rst_cnt\[3\],3.08
net57,3.08
net159,3.08
net195,3.08
net204,3.08
net234,3.08
_0148_,3.06
_0277_,3.045
_0171_,3.005
_0423_,2.98
_0548_,2.98
_0453_,2.96
_0563_,2.96
_0630_,2.96
_0705_,2.96
_0878_,2.96
_0910_,2.96
_0979_,2.96
_0992_,2.96
net181,2.96
_0156_,2.94
_0132_,2.88
_0154_,2.88
_0175_,2.88
_0203_,2.86
_0068_,2.84
_0108_,2.84
_0301_,2.84
_0640_,2.82
_0258_,2.785
_0284_,2.785
_0085_,2.77
_0443_,2.76
_0664_,2.76
net71,2.76
net139,2.76
net163,2.76
_0021_,2.74
_0046_,2.74
_0249_,2.74
_0127_,2.715
_0193_,2.715
_0210_,2.715
_0211_,2.715
_0221_,2.715
_0274_,2.715
_0081_,2.69
_0084_,2.69
_0089_,2.69
_0090_,2.69
_0103_,2.69
_0104_,2.69
_0109_,2.69
_0027_,2.64
_0419_,2.64
_0897_,2.64
net49,2.64
net138,2.64
net217,2.64
_0033_,2.62
_0034_,2.62
_0055_,2.62
_0291_,2.62
_0294_,2.62
_0397_,2.62
_0404_,2.62
_0430_,2.62
_0457_,2.62
_0549_,2.62
_0588_,2.62
_0793_,2.62
_0960_,2.62
net85,2.62
net86,2.62
net102,2.62
net108,2.62
net110,2.62
net172,2.62
net218,2.62
net229,2.62
_0191_,2.595
_0172_,2.585
_0115_,2.545
_0126_,2.545
_0189_,2.545
_0319_,2.545
_0321_,2.545
net34,2.545
_0014_,2.52
_0361_,2.52
_0587_,2.52
_0774_,2.52
_0776_,2.52
_0234_,2.5
_0458_,2.5
_0623_,2.5
_0865_,2.5
net134,2.5
_0295_,2.465
_0095_,2.43
_0121_,2.42
_0130_,2.42
_0152_,2.42
_0272_,2.42
_0385_,2.4
_0646_,2.4
net187,2.4
_0059_,2.38
_0071_,2.38
_0080_,2.38
_0082_,2.38
_0091_,2.38
_0092_,2.38
_0096_,2.38
_0099_,2.38
_0101_,2.38
_0110_,2.38
_0482_,2.38
_0484_,2.38
_0122_,2.375
_0163_,2.375
_0848_,2.375
_0128_,2.325
_0179_,2.325
_0265_,2.325
_0275_,2.325
_0003_,2.3
_0043_,2.3
_0456_,2.3
_0462_,2.3
_0464_,2.3
_0529_,2.3
_0949_,2.3
_1013_,2.3
net89,2.3
net198,2.3
_0030_,2.28
_0048_,2.28
_0077_,2.28
_0243_,2.28
_0247_,2.28
_0693_,2.28
_0935_,2.28
_0944_,2.27
_0151_,2.255
_0165_,2.255
net46,2.255
net212,2.255
_0058_,2.23
_0060_,2.23
_0063_,2.23
_0064_,2.23
_0076_,2.23
_0083_,2.23
_0105_,2.23
_0111_,2.23
_0062_,2.21
_0045_,2.18
_0178_,2.18
_0230_,2.18
_0422_,2.18
_0603_,2.18
_0634_,2.18
_0795_,2.18
_0860_,2.18
_0891_,2.18
_0912_,2.18
_0953_,2.18
_0006_,2.16
_0018_,2.16
_0025_,2.16
_0244_,2.16
_0300_,2.16
_0309_,2.16
_0313_,2.16
_0315_,2.16
_0360_,2.16
_0418_,2.16
_0459_,2.16
_0539_,2.16
_0541_,2.16
_0844_,2.16
_0847_,2.16
_1012_,2.16
uart_rx_jetson_inst.data_reg\[0\],2.16
_0347_,2.155
_0212_,2.145
_0155_,2.085
_0164_,2.085
_0194_,2.085
_0195_,2.085
_0322_,2.085
_0142_,2.08
_0217_,2.08
_0197_,2.06
_0260_,2.06
_0522_,2.06
_0706_,2.06
_0832_,2.06
_0487_,2.04
_0636_,2.04
_0850_,2.04
_0125_,2.025
_0201_,2.025
_0259_,2.025
_0270_,2.025
_0318_,2.025
_0005_,2.005
_0515_,1.94
_0575_,1.94
_0624_,1.94
net232,1.94
_0141_,1.895
_0116_,1.865
_0187_,1.865
_0192_,1.865
_0196_,1.865
_0226_,1.865
net51,1.865
_0252_,1.84
_0408_,1.84
_0503_,1.84
_0535_,1.84
_0835_,1.84
_0954_,1.84
net31,1.84
net80,1.84
net87,1.84
net106,1.84
net107,1.84
net115,1.84
net123,1.84
net124,1.84
net140,1.84
net152,1.84
net171,1.84
net184,1.84
net189,1.84
net221,1.84
net227,1.84
_0035_,1.82
_0057_,1.82
_0069_,1.82
_0086_,1.82
_0237_,1.82
_0241_,1.82
_0253_,1.82
_0290_,1.82
_0488_,1.82
_0518_,1.82
_0980_,1.82
net203,1.82
net209,1.82
net29,1.795
_0088_,1.75
_0807_,1.72
_0859_,1.72
_0883_,1.72
_0899_,1.72
_0907_,1.72
_0066_,1.7
_0219_,1.7
_0519_,1.7
_0592_,1.7
_0932_,1.7
dual_watchdog_inst.watchdog_fc.falling_edge_timeout.tcnt,1.7
uart_tx_raspi_inst.s_axis_tready_reg,1.7
net23,1.7
net91,1.7
net235,1.7
net32,1.685
_0386_,1.6
_0614_,1.6
_0781_,1.6
_0962_,1.6
_1005_,1.6
_0120_,1.575
_0452_,1.48
_0769_,1.48
_0786_,1.48
_0788_,1.48
net194,1.48
_0129_,1.46
_0157_,1.405
_0181_,1.405
_0263_,1.405
net24,1.405
_0334_,1.38
_0363_,1.38
_0554_,1.38
_0746_,1.38
_0779_,1.38
_0824_,1.38
_0856_,1.38
_0864_,1.38
_0879_,1.38
_0916_,1.38
_0922_,1.38
net58,1.38
net149,1.38
net166,1.38
net200,1.38
net207,1.38
net219,1.38
net224,1.38
net228,1.38
net230,1.38
_0070_,1.36
_0073_,1.36
_0093_,1.36
_0100_,1.36
_0480_,1.36
_0818_,1.36
_0020_,1.26
_0242_,1.26
_0338_,1.26
_0350_,1.26
_0364_,1.26
_0511_,1.26
_0555_,1.26
_0570_,1.26
_0606_,1.26
_0635_,1.26
_0467_,1.14
_0468_,1.14
_0481_,1.14
_0753_,1.14
_0888_,1.14
_0990_,1.14
_0752_,1.1
_0512_,1.02
_0711_,1.02
net193,1.02
_0343_,0.92
_0442_,0.92
_0447_,0.92
_0486_,0.92
_0508_,0.92
_0649_,0.92
_0653_,0.92
_0971_,0.92
_0987_,0.92
net54,0.92
net109,0.92
_0170_,0.8
_0223_,0.8
_0381_,0.8
_0485_,0.8
_0594_,0.8
uart_rx_raspi_inst.prescale_reg\[17\],0.8
net147,0.8
_0186_,0.46
_0413_,0.46
_0428_,0.46
net25,0.46
net78,0.46
net88,0.46
net100,0.46
net112,0.46
net128,0.46
net158,0.46
net177,0.46
net186,0.46
net191,0.46
net202,0.46
net215,0.46
net225,0.46
